Driver,Team,BrakingDistance,LapNumber
HAD,Racing Bulls,129.3438888888893,29.0
HAD,Racing Bulls,118.55000000000018,30.0
HAD,Racing Bulls,109.0333333333333,31.0
HAD,Racing Bulls,120.67777777777792,32.0
HAD,Racing Bulls,111.7777777777776,33.0
HAD,Racing Bulls,120.03333333333308,34.0
HAD,Racing Bulls,131.91222222222223,35.0
HAD,Racing Bulls,126.20138888888937,36.0
HAD,Racing Bulls,102.18888888888887,37.0
HAD,Racing Bulls,119.59999999999991,38.0
HAD,Racing Bulls,129.4047222222223,39.0
HAD,Racing Bulls,129.06666666666706,40.0
HAD,Racing Bulls,106.92222222222222,41.0
HAD,Racing Bulls,127.33333333333326,42.0
HAD,Racing Bulls,119.83055555555552,43.0
HAD,Racing Bulls,135.8563888888889,44.0
HAD,Racing Bulls,118.76055555555558,45.0
HAD,Racing Bulls,126.9341666666669,46.0
HAD,Racing Bulls,126.75333333333333,47.0
HAD,Racing Bulls,136.45555555555575,48.0
HAD,Racing Bulls,107.02222222222235,49.0
HAD,Racing Bulls,117.39999999999964,50.0
HUL,Kick Sauber,155.42277777777826,4.0
HUL,Kick Sauber,168.288888888889,5.0
HUL,Kick Sauber,136.34444444444466,6.0
HUL,Kick Sauber,137.87333333333368,7.0
HUL,Kick Sauber,104.9333333333334,8.0
HUL,Kick Sauber,150.17027777777776,9.0
HUL,Kick Sauber,129.94444444444457,10.0
HUL,Kick Sauber,124.06749999999988,11.0
HUL,Kick Sauber,135.91416666666714,12.0
HUL,Kick Sauber,149.16583333333324,13.0
HUL,Kick Sauber,108.62222222222226,14.0
HUL,Kick Sauber,132.76749999999993,15.0
HUL,Kick Sauber,132.52944444444393,17.0
HUL,Kick Sauber,122.7405555555556,18.0
HUL,Kick Sauber,117.73333333333335,19.0
HUL,Kick Sauber,111.04805555555527,20.0
HUL,Kick Sauber,106.40972222222263,21.0
HUL,Kick Sauber,106.788888888889,22.0
HUL,Kick Sauber,120.40999999999963,23.0
HUL,Kick Sauber,97.89999999999964,24.0
HUL,Kick Sauber,105.7444444444443,25.0
HUL,Kick Sauber,110.56138888888904,26.0
HUL,Kick Sauber,98.70500000000038,27.0
HUL,Kick Sauber,117.1888888888891,28.0
HUL,Kick Sauber,106.6211111111113,29.0
HUL,Kick Sauber,102.3086111111113,32.0
HUL,Kick Sauber,95.16666666666652,33.0
HUL,Kick Sauber,98.74305555555566,34.0
HUL,Kick Sauber,108.72444444444454,35.0
HUL,Kick Sauber,91.48222222222239,36.0
HUL,Kick Sauber,104.47777777777787,37.0
HUL,Kick Sauber,102.32055555555576,38.0
HUL,Kick Sauber,114.3111111111109,39.0
HUL,Kick Sauber,110.55222222222233,40.0
HUL,Kick Sauber,96.86666666666679,41.0
HUL,Kick Sauber,90.17777777777815,42.0
HUL,Kick Sauber,105.37611111111141,43.0
HUL,Kick Sauber,115.95777777777812,44.0
HUL,Kick Sauber,91.98138888888889,45.0
HUL,Kick Sauber,114.0363888888885,46.0
HUL,Kick Sauber,123.33777777777755,47.0
HUL,Kick Sauber,116.24722222222249,48.0
HUL,Kick Sauber,95.62222222222226,49.0
HUL,Kick Sauber,92.21194444444404,50.0
HAM,Ferrari,120.33333333333348,5.0
HAM,Ferrari,144.52388888888913,6.0
HAM,Ferrari,164.5702777777774,7.0
HAM,Ferrari,178.24388888888893,8.0
HAM,Ferrari,167.69861111111095,9.0
HAM,Ferrari,154.78083333333302,10.0
HAM,Ferrari,183.5919444444446,11.0
HAM,Ferrari,165.90249999999992,12.0
HAM,Ferrari,162.31638888888915,13.0
HAM,Ferrari,152.03750000000036,14.0
HAM,Ferrari,163.39000000000033,15.0
HAM,Ferrari,173.51750000000015,17.0
HAM,Ferrari,105.46666666666647,18.0
HAM,Ferrari,179.5511111111116,19.0
HAM,Ferrari,175.42222222222244,20.0
HAM,Ferrari,114.88888888888891,21.0
HAM,Ferrari,100.96305555555546,22.0
HAM,Ferrari,132.06833333333338,23.0
HAM,Ferrari,140.46972222222234,24.0
HAM,Ferrari,136.3888888888896,25.0
HAM,Ferrari,148.44416666666712,26.0
HAM,Ferrari,144.52833333333342,27.0
HAM,Ferrari,146.44444444444457,28.0
HAM,Ferrari,156.5088888888888,31.0
HAM,Ferrari,128.76750000000015,32.0
HAM,Ferrari,131.74000000000024,33.0
HAM,Ferrari,160.9333333333327,34.0
HAM,Ferrari,128.56444444444446,35.0
HAM,Ferrari,134.4777777777781,36.0
HAM,Ferrari,141.67027777777753,37.0
HAM,Ferrari,139.6836111111113,38.0
HAM,Ferrari,134.13416666666626,39.0
HAM,Ferrari,137.05555555555588,40.0
HAM,Ferrari,123.98861111111091,41.0
HAM,Ferrari,108.13333333333367,42.0
HAM,Ferrari,138.30472222222238,43.0
HAM,Ferrari,152.63083333333316,44.0
HAM,Ferrari,139.4580555555558,45.0
HAM,Ferrari,126.88888888888914,46.0
HAM,Ferrari,120.01555555555524,47.0
HAM,Ferrari,132.62222222222226,48.0
HAM,Ferrari,131.12055555555548,49.0
HAM,Ferrari,106.20000000000027,50.0
OCO,Haas F1 Team,139.48444444444453,4.0
OCO,Haas F1 Team,127.66777777777816,5.0
OCO,Haas F1 Team,158.0313888888886,6.0
OCO,Haas F1 Team,141.78944444444414,7.0
OCO,Haas F1 Team,151.288888888889,8.0
OCO,Haas F1 Team,140.95111111111123,9.0
OCO,Haas F1 Team,122.95555555555552,10.0
OCO,Haas F1 Team,170.99916666666695,11.0
OCO,Haas F1 Team,144.04750000000035,12.0
OCO,Haas F1 Team,124.9288888888891,13.0
OCO,Haas F1 Team,137.9758333333334,14.0
OCO,Haas F1 Team,123.49916666666627,15.0
OCO,Haas F1 Team,148.7330555555559,17.0
OCO,Haas F1 Team,106.77722222222224,18.0
OCO,Haas F1 Team,144.99749999999995,19.0
OCO,Haas F1 Team,127.99999999999977,20.0
OCO,Haas F1 Team,143.60333333333324,21.0
OCO,Haas F1 Team,80.24333333333334,22.0
OCO,Haas F1 Team,130.2416666666668,23.0
OCO,Haas F1 Team,125.80000000000018,24.0
OCO,Haas F1 Team,120.98888888888928,25.0
OCO,Haas F1 Team,119.6597222222224,26.0
OCO,Haas F1 Team,118.05611111111102,29.0
OCO,Haas F1 Team,85.33583333333354,30.0
OCO,Haas F1 Team,130.4555555555553,31.0
OCO,Haas F1 Team,145.3661111111112,32.0
OCO,Haas F1 Team,143.21111111111145,33.0
OCO,Haas F1 Team,120.61583333333306,34.0
OCO,Haas F1 Team,123.5911111111111,35.0
OCO,Haas F1 Team,106.66944444444448,36.0
OCO,Haas F1 Team,123.11111111111086,37.0
OCO,Haas F1 Team,114.3408333333332,38.0
OCO,Haas F1 Team,128.9777777777781,39.0
OCO,Haas F1 Team,95.78277777777771,40.0
OCO,Haas F1 Team,102.63694444444468,41.0
OCO,Haas F1 Team,104.91138888888895,42.0
OCO,Haas F1 Team,118.59999999999991,43.0
OCO,Haas F1 Team,109.27388888888913,44.0
OCO,Haas F1 Team,110.56666666666683,45.0
OCO,Haas F1 Team,107.50999999999954,46.0
OCO,Haas F1 Team,90.78888888888923,47.0
OCO,Haas F1 Team,106.47777777777765,48.0
OCO,Haas F1 Team,124.03749999999991,49.0
OCO,Haas F1 Team,108.64444444444462,50.0
BEA,Haas F1 Team,155.18888888888887,4.0
BEA,Haas F1 Team,155.22222222222172,5.0
BEA,Haas F1 Team,165.81472222222237,6.0
BEA,Haas F1 Team,125.03333333333308,7.0
BEA,Haas F1 Team,117.5333333333333,8.0
BEA,Haas F1 Team,124.22222222222217,9.0
BEA,Haas F1 Team,155.40972222222263,10.0
BEA,Haas F1 Team,143.4241666666669,11.0
BEA,Haas F1 Team,146.5238888888889,12.0
BEA,Haas F1 Team,143.26666666666642,13.0
BEA,Haas F1 Team,128.05500000000006,14.0
BEA,Haas F1 Team,118.0469444444443,15.0
BEA,Haas F1 Team,126.65555555555557,19.0
BEA,Haas F1 Team,150.56666666666638,20.0
BEA,Haas F1 Team,133.961111111111,21.0
BEA,Haas F1 Team,160.25555555555593,22.0
BEA,Haas F1 Team,151.03111111111093,23.0
BEA,Haas F1 Team,147.39916666666682,24.0
BEA,Haas F1 Team,128.14444444444484,25.0
BEA,Haas F1 Team,133.38416666666672,26.0
BEA,Haas F1 Team,142.93555555555577,27.0
BEA,Haas F1 Team,120.68111111111102,28.0
BEA,Haas F1 Team,131.48888888888928,29.0
BEA,Haas F1 Team,157.02222222222235,30.0
BEA,Haas F1 Team,136.9063888888886,31.0
BEA,Haas F1 Team,125.85083333333318,32.0
BEA,Haas F1 Team,115.13333333333321,33.0
BEA,Haas F1 Team,158.16638888888883,34.0
BEA,Haas F1 Team,132.98888888888882,35.0
BEA,Haas F1 Team,120.75555555555547,36.0
BEA,Haas F1 Team,127.59138888888833,37.0
BEA,Haas F1 Team,109.22805555555556,38.0
BEA,Haas F1 Team,121.24694444444435,39.0
BEA,Haas F1 Team,132.1777777777777,40.0
BEA,Haas F1 Team,115.38888888888914,41.0
BEA,Haas F1 Team,132.67777777777792,42.0
BEA,Haas F1 Team,121.43777777777746,43.0
BEA,Haas F1 Team,134.4191666666668,44.0
BEA,Haas F1 Team,123.67777777777746,45.0
BEA,Haas F1 Team,121.76361111111078,46.0
BEA,Haas F1 Team,120.48888888888905,47.0
BEA,Haas F1 Team,110.08750000000009,48.0
BEA,Haas F1 Team,127.27027777777766,49.0
BEA,Haas F1 Team,59.56944444444434,50.0
ALO,Aston Martin,167.89777777777817,4.0
ALO,Aston Martin,138.1888888888884,5.0
ALO,Aston Martin,167.1488888888889,6.0
ALO,Aston Martin,141.26000000000022,7.0
ALO,Aston Martin,170.73333333333358,8.0
ALO,Aston Martin,142.8894444444445,9.0
ALO,Aston Martin,121.53694444444477,10.0
ALO,Aston Martin,113.64416666666693,11.0
ALO,Aston Martin,85.01111111111118,12.0
ALO,Aston Martin,135.36944444444407,13.0
ALO,Aston Martin,114.53333333333353,14.0
ALO,Aston Martin,134.7125000000001,15.0
ALO,Aston Martin,122.25694444444457,18.0
ALO,Aston Martin,121.35555555555538,19.0
ALO,Aston Martin,138.76527777777778,20.0
ALO,Aston Martin,133.09444444444466,21.0
ALO,Aston Martin,152.57777777777778,22.0
ALO,Aston Martin,140.45555555555575,23.0
ALO,Aston Martin,114.17777777777769,24.0
ALO,Aston Martin,121.13722222222214,25.0
ALO,Aston Martin,123.02222222222258,26.0
ALO,Aston Martin,103.94444444444457,27.0
ALO,Aston Martin,122.44666666666694,28.0
ALO,Aston Martin,114.23222222222216,29.0
ALO,Aston Martin,113.55555555555588,30.0
ALO,Aston Martin,142.83555555555563,31.0
ALO,Aston Martin,116.96361111111128,32.0
ALO,Aston Martin,133.60000000000014,33.0
ALO,Aston Martin,129.2258333333334,34.0
ALO,Aston Martin,118.56750000000011,35.0
ALO,Aston Martin,116.53333333333353,36.0
ALO,Aston Martin,138.4380555555556,37.0
ALO,Aston Martin,108.7602777777779,38.0
ALO,Aston Martin,137.22805555555533,39.0
ALO,Aston Martin,134.85555555555538,40.0
ALO,Aston Martin,114.8333333333328,41.0
ALO,Aston Martin,127.86666666666656,42.0
ALO,Aston Martin,131.115,43.0
ALO,Aston Martin,122.13999999999987,44.0
ALO,Aston Martin,120.48750000000018,45.0
ALO,Aston Martin,128.37777777777774,46.0
ALO,Aston Martin,108.09999999999968,47.0
ALO,Aston Martin,106.44444444444457,48.0
ALO,Aston Martin,113.88416666666626,49.0
ALO,Aston Martin,108.94666666666649,50.0
TSU,Red Bull Racing,153.42111111111126,4.0
TSU,Red Bull Racing,144.10000000000014,5.0
TSU,Red Bull Racing,136.65750000000025,6.0
TSU,Red Bull Racing,121.48888888888905,7.0
TSU,Red Bull Racing,106.07083333333321,8.0
TSU,Red Bull Racing,101.83694444444382,9.0
TSU,Red Bull Racing,117.20000000000027,10.0
TSU,Red Bull Racing,129.09027777777783,11.0
TSU,Red Bull Racing,112.64750000000004,12.0
TSU,Red Bull Racing,111.09861111111104,13.0
TSU,Red Bull Racing,93.5111111111114,14.0
TSU,Red Bull Racing,132.39472222222253,17.0
TSU,Red Bull Racing,121.54388888888889,18.0
TSU,Red Bull Racing,134.8555555555556,19.0
TSU,Red Bull Racing,129.4088888888889,20.0
TSU,Red Bull Racing,157.52944444444438,21.0
TSU,Red Bull Racing,169.78888888888923,22.0
TSU,Red Bull Racing,141.3888888888887,23.0
TSU,Red Bull Racing,158.24277777777797,24.0
TSU,Red Bull Racing,150.12222222222226,25.0
TSU,Red Bull Racing,132.99777777777786,26.0
TSU,Red Bull Racing,138.28944444444414,29.0
TSU,Red Bull Racing,105.12527777777768,30.0
TSU,Red Bull Racing,130.4555555555553,31.0
TSU,Red Bull Racing,120.5727777777779,32.0
TSU,Red Bull Racing,122.49999999999977,33.0
TSU,Red Bull Racing,116.29277777777793,34.0
TSU,Red Bull Racing,101.15944444444449,35.0
TSU,Red Bull Racing,105.24833333333322,36.0
TSU,Red Bull Racing,102.07777777777756,37.0
TSU,Red Bull Racing,109.46666666666692,38.0
TSU,Red Bull Racing,127.09999999999991,39.0
TSU,Red Bull Racing,122.0094444444444,40.0
TSU,Red Bull Racing,102.1519444444441,41.0
TSU,Red Bull Racing,91.84444444444466,42.0
TSU,Red Bull Racing,129.65555555555534,43.0
TSU,Red Bull Racing,142.9333333333334,44.0
TSU,Red Bull Racing,130.788888888889,45.0
TSU,Red Bull Racing,120.21305555555568,46.0
TSU,Red Bull Racing,100.45777777777744,47.0
TSU,Red Bull Racing,106.41111111111127,48.0
TSU,Red Bull Racing,127.10277777777787,49.0
TSU,Red Bull Racing,123.30000000000018,50.0
GAS,Alpine,186.46361111111082,4.0
GAS,Alpine,163.5666666666666,5.0
GAS,Alpine,152.5336111111112,6.0
GAS,Alpine,136.77777777777806,7.0
GAS,Alpine,140.6555555555558,8.0
GAS,Alpine,139.13333333333344,9.0
GAS,Alpine,124.99972222222232,10.0
GAS,Alpine,107.01416666666705,11.0
GAS,Alpine,123.93916666666655,12.0
GAS,Alpine,130.95555555555552,13.0
GAS,Alpine,146.09138888888947,14.0
GAS,Alpine,132.30750000000035,17.0
GAS,Alpine,127.35805555555567,18.0
GAS,Alpine,133.17777777777792,19.0
GAS,Alpine,139.19805555555604,20.0
GAS,Alpine,122.61888888888893,21.0
GAS,Alpine,134.8666666666668,22.0
GAS,Alpine,126.73361111111103,23.0
GAS,Alpine,132.99416666666684,24.0
GAS,Alpine,135.50805555555576,25.0
GAS,Alpine,129.4333333333334,26.0
GAS,Alpine,144.23333333333335,27.0
GAS,Alpine,131.17583333333346,28.0
GAS,Alpine,134.60777777777753,29.0
GAS,Alpine,115.41111111111104,30.0
GAS,Alpine,115.99000000000024,31.0
GAS,Alpine,118.49333333333357,32.0
GAS,Alpine,124.24277777777752,33.0
GAS,Alpine,128.16666666666652,34.0
GAS,Alpine,142.42583333333346,35.0
GAS,Alpine,121.05722222222266,36.0
GAS,Alpine,126.62916666666683,37.0
GAS,Alpine,118.20333333333338,38.0
GAS,Alpine,121.8444444444442,39.0
GAS,Alpine,115.67583333333391,40.0
GAS,Alpine,125.59055555555551,41.0
GAS,Alpine,128.35166666666646,42.0
GAS,Alpine,111.7222222222224,43.0
GAS,Alpine,138.4333333333334,44.0
GAS,Alpine,135.45555555555575,45.0
GAS,Alpine,127.74166666666656,46.0
GAS,Alpine,150.8222222222223,47.0
GAS,Alpine,97.13472222222254,48.0
GAS,Alpine,120.63833333333332,49.0
GAS,Alpine,139.1794444444447,50.0
LAW,Racing Bulls,167.97361111111127,4.0
LAW,Racing Bulls,165.3858333333335,5.0
LAW,Racing Bulls,140.7486111111109,6.0
LAW,Racing Bulls,140.5377777777776,7.0
LAW,Racing Bulls,148.3666666666668,8.0
LAW,Racing Bulls,157.23888888888905,9.0
LAW,Racing Bulls,147.922222222222,10.0
LAW,Racing Bulls,139.6975,11.0
LAW,Racing Bulls,118.61138888888877,12.0
LAW,Racing Bulls,147.73333333333312,13.0
LAW,Racing Bulls,142.3533333333337,14.0
LAW,Racing Bulls,136.26194444444423,17.0
LAW,Racing Bulls,134.95888888888885,18.0
